<<<<<<< HEAD
0	0	-1	0	0	0	0	-1	0	1	-1	-1	0	0	-1	-1	
0	-1	0	0	-1	0	0	-1	-1	-1	0	0	0	0	1	-1	
-1	-1	0	0	-1	-1	1	1	1	1	-1	1	-1	-1	0	0	
-1	1	-1	0	0	1	0	0	-1	1	0	0	-1	-1	-1	0	
-1	1	0	-1	0	0	-1	-1	0	-1	0	0	-1	1	1	0	
0	0	0	1	0	-1	0	0	0	0	-1	-1	-1	0	1	0	
-1	-1	1	-1	0	0	-1	0	1	0	-1	-1	0	-1	0	-1	
-1	0	-1	0	0	0	-1	-1	0	1	0	-1	1	0	-1	0	
0	-1	1	0	1	0	0	-1	-1	0	-1	1	0	0	-1	0	
0	-1	-1	-1	0	0	1	0	0	0	1	0	-1	-1	0	0	
0	0	-1	0	0	0	0	0	0	0	1	0	-1	-1	-1	0	
0	-1	-1	-1	1	-1	1	0	-1	1	0	0	0	-1	0	1	
0	0	0	-1	1	0	0	-1	0	0	1	1	0	0	0	1	
0	-1	1	0	-1	1	0	0	1	-1	1	1	-1	0	1	-1	
0	-1	-1	0	0	0	0	1	-1	0	-1	1	0	-1	0	0	
0	0	0	0	1	-1	1	1	0	-1	0	0	-1	0	0	0	
=======
0	0	0	1	-1	0	-1	-1	1	0	0	0	1	-1	-1	-1	
0	1	0	-1	1	0	-1	0	-1	0	0	0	-1	-1	-1	1	
0	0	1	0	-1	0	1	-1	0	0	-1	0	0	-1	0	1	
-1	0	0	0	1	-1	-1	0	0	-1	0	-1	0	1	-1	-1	
-1	-1	-1	-1	-1	-1	1	0	-1	0	-1	0	-1	0	-1	1	
0	0	0	0	0	0	0	-1	1	1	-1	0	-1	0	0	1	
-1	-1	0	0	0	-1	0	-1	-1	0	1	0	-1	1	0	1	
-1	0	0	0	0	-1	-1	1	-1	-1	0	-1	1	1	0	1	
1	-1	0	0	0	-1	-1	0	0	1	0	1	0	0	-1	0	
0	-1	-1	0	-1	-1	1	1	0	0	-1	0	0	0	1	0	
0	-1	0	0	-1	1	-1	1	0	0	-1	0	-1	0	0	-1	
1	-1	0	1	0	1	0	0	-1	0	-1	-1	-1	0	0	-1	
0	0	1	1	-1	0	0	1	0	0	-1	-1	0	-1	-1	-1	
0	0	0	0	0	-1	0	0	0	0	0	-1	0	1	0	0	
1	1	0	0	1	0	1	0	0	0	0	-1	1	0	1	0	
0	-1	-1	0	-1	-1	1	0	1	0	0	0	0	-1	0	0	
>>>>>>> branch 'master' of https://github.com/THU-SE2019-56/Bomberman.git
